,Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
100,t8,6-3,2.0,---,"3,(0-2)?CCX",O,CHC,Addison?Russell,Cody?Allen,-0%,90%,Popfly: 1B
103,b8,3-6,0.0,---,"3,(2-0)?BBX",O,CLE,Francisco?Lindor,Jon?Lester,3%,93%,Groundout: SS-1B
104,b8,3-6,1.0,---,"5,(2-2)?CSBBC",O,CLE,Mike?Napoli,Jon?Lester,2%,95%,Strikeout Looking
105,b8,3-6,2.0,---,"3,(1-1)?BSX",,CLE,Jose?Ramirez,Jon?Lester,-2%,94%,Single to SS (Ground Ball)
107,b8,3-6,2.0,1--,"7,(3-2)?.BCFBFB>X",R,CLE,Brandon?Guyer,Aroldis?Chapman,-8%,86%,Double to CF (Line Drive); Ramirez Scores
108,b8,4-6,2.0,-2-,"7,(2-2)?BFFBFFX",RR,CLE,Rajai?Davis,Aroldis?Chapman,-39%,47%,Home Run (Line Drive); Guyer Scores
109,b8,6-6,2.0,---,"2,(1-0)?BX",,CLE,Coco?Crisp,Aroldis?Chapman,-2%,45%,Single to LF (Ground Ball)
110,b8,6-6,2.0,1--,"5,(2-2)?1B1BSS>S",O,CLE,Yan?Gomes,Aroldis?Chapman,5%,50%,Strikeout Swinging
113,t9,6-6,0.0,---,"5,(3-1)?BBBCB",,CHC,David?Ross,Cody?Allen,8%,58%,Walk
115,t9,6-6,0.0,1--,"8,(2-2)?.BBCF>FF1F11X",O,CHC,Jason?Heyward,Cody?Allen,-8%,50%,Groundout: 2B-SS/Forceout at 2B
117,t9,6-6,1.0,1--,"5,(3-1)?.C*BBB>S",,CHC,Javier?Baez,Bryan?Shaw,17%,66%,Heyward Steals 2B; Heyward to 3B/Adv on E2 (throw)
119,t9,6-6,1.0,--3,"6,(3-2)?.C*BBB>S...L",O,CHC,Javier?Baez,Bryan?Shaw,-19%,48%,Strikeout (foul bunt)
120,t9,6-6,2.0,--3,"3,(2-0)?BBX",O,CHC,Dexter?Fowler,Bryan?Shaw,-13%,35%,Groundout: SS-1B
124,b9,6-6,0.0,---,"6,(3-2)?.CBBBCX",O,CLE,Carlos?Santana,Aroldis?Chapman,6%,41%,Flyball: LF
125,b9,6-6,1.0,---,"7,(3-2)?CBFBBFS",O,CLE,Jason?Kipnis,Aroldis?Chapman,5%,46%,Strikeout Swinging
126,b9,6-6,2.0,---,"1,(0-0)?X",O,CLE,Francisco?Lindor,Aroldis?Chapman,4%,50%,Flyball: RF
129,t10,6-6,0.0,---,"2,(1-0)?BX",,CHC,Kyle?Schwarber,Bryan?Shaw,8%,58%,Single to RF (Line Drive)
131,t10,6-6,0.0,1--,"5,(2-2)?.BFFB1X",O,CHC,Kris?Bryant,Bryan?Shaw,-3%,55%,Flyball: CF; Almora to 2B
132,t10,6-6,1.0,-2-,"4,(3-0)?IIII",,CHC,Anthony?Rizzo,Bryan?Shaw,2%,58%,Intentional Walk
133,t10,6-6,1.0,12-,"5,(1-2)?BCCFX",R,CHC,Ben?Zobrist,Bryan?Shaw,31%,89%,Double to LF (Ground Ball); Almora Scores; Rizzo to 3B
134,t10,7-6,1.0,-23,"4,(3-0)?IIII",,CHC,Addison?Russell,Bryan?Shaw,0%,89%,Intentional Walk
135,t10,7-6,1.0,123,"3,(1-1)?BFX",R,CHC,Miguel?Montero,Bryan?Shaw,6%,95%,Single to LF (Ground Ball); Rizzo Scores; Zobrist to 3B; Russell to 2B
137,t10,8-6,1.0,123,"4,(0-2)?.FSFS",O,CHC,Jason?Heyward,Trevor?Bauer,-3%,92%,Strikeout Swinging
138,t10,8-6,2.0,123,"5,(2-2)?BSS*BX",O,CHC,Javier?Baez,Trevor?Bauer,-3%,89%,Flyball: CF
142,b10,6-8,0.0,---,"5,(2-2)?..CBFBS",O,CLE,Mike?Napoli,Carl?Edwards,5%,95%,Strikeout Swinging
143,b10,6-8,1.0,---,"5,(2-2)?CFBBX",O,CLE,Jose?Ramirez,Carl?Edwards,3%,98%,Groundout: SS-1B
144,b10,6-8,2.0,---,"5,(3-1)?BBBCB",,CLE,Brandon?Guyer,Carl?Edwards,-3%,95%,Walk
145,b10,6-8,2.0,1--,"1,(0-0)?>B",,CLE,Rajai?Davis,Carl?Edwards,-0%,95%,Defensive Indifference; Guyer to 2B
146,b10,6-8,2.0,-2-,"2,(1-0)?>B.X",R,CLE,Rajai?Davis,Carl?Edwards,-5%,89%,Single to CF (Line Drive); Guyer Scores
148,b10,7-8,2.0,1--,"2,(0-1)?.CX",O,CLE,Michael?Martinez,Mike?Montgomery,11%,100%,Groundout: 3B-1B
